Nhom,SoLanChay,ChecksFailed,ChecksTotal,HttpAvg,HttpP95,EncryptOrHashAvg,DecryptAvg,EncryptServerAvg,DecryptServerAvg,TotalRequests,RequestsPerSec,CreateDbCheckAvg,CreateEncryptAvg,CreateInsertAvg,SearchHashAvg,SearchDbAvg,Algorithm,LoadLevel,ClientRoundTripMs,ServerExecutionMs,Avg,Median,Min,Max,P95,Throughput,FailedRate
aes_100vu,1,0,9000,4.62,12.95,2.71,1.91,0.02,0.02,6000,205.23,-,-,-,-,-,aes,100,2.71,0.02,0.02,0.02,0.00,1.34,0.05,102.61,0.0000
aes_200vu,2,0,36000,5.70,20.37,3.19,2.51,0.02,0.02,24000,409.55,-,-,-,-,-,aes,200,3.19,0.02,0.02,0.02,0.00,6.16,0.04,204.77,0.0000
create_100rps,1,0,6002,14.35,16.00,14.35,-,13.61,-,3002,100.01,7.19,0.13,6.28,-,-,create,100,14.35,13.61,13.61,13.68,9.16,34.82,14.95,100.01,0.0000
create_200rps,1,0,11984,13.30,15.73,13.30,-,12.79,-,5993,199.69,6.75,0.12,5.92,-,-,create,200,13.30,12.79,12.79,12.69,7.63,50.50,14.85,199.69,0.0000
create_50rps,1,0,3002,15.12,17.08,15.12,-,14.40,-,1502,50.04,7.72,0.16,6.52,-,-,create,50,15.12,14.40,14.40,14.44,9.76,32.12,15.94,50.04,0.0000
fpe_200vu,1,0,18000,6.09,20.69,3.34,2.75,0.09,0.10,12060,396.75,-,-,-,-,-,fpe,200,3.34,0.09,0.09,0.08,0.01,10.88,0.16,198.37,0.0000
fpe_50vu,3,0,13500,5.83,19.12,3.10,2.73,0.15,0.15,9180,100.90,-,-,-,-,-,fpe,50,3.10,0.15,0.15,0.11,0.01,14.19,0.23,50.45,0.0000
hash_100vu,2,0,6000,2.89,6.75,2.89,-,0.02,-,6000,102.89,-,-,-,-,-,hash,100,2.89,0.02,0.02,0.02,0.00,5.88,0.05,102.89,0.0000
hash_200vu,2,0,12000,2.77,8.08,2.77,-,0.02,-,12000,205.69,-,-,-,-,-,hash,200,2.77,0.02,0.02,0.02,0.00,1.36,0.05,205.69,0.0000
hash_50vu,2,0,3000,3.40,9.11,3.40,-,0.06,-,3000,51.38,-,-,-,-,-,hash,50,3.40,0.06,0.06,0.02,0.00,9.75,0.05,51.38,0.0000
plaintext_200vu,1,0,6000,2.67,7.80,2.67,-,0.00,-,6030,199.53,-,-,-,-,-,plaintext,200,2.67,0.00,0.00,0.00,0.00,0.06,0.00,199.53,0.0000
plaintext_50vu,1,0,1500,2.65,6.78,2.65,-,0.00,-,1530,50.73,-,-,-,-,-,plaintext,50,2.65,0.00,0.00,0.00,0.00,0.01,0.00,50.73,0.0000
rsa_100vu,2,0,18000,10.07,32.13,3.59,6.48,0.13,2.61,12000,204.13,-,-,-,-,-,rsa,100,3.59,0.13,0.13,0.08,0.03,8.74,0.26,102.07,0.0000
rsa_200vu,2,0,36000,10.62,33.36,3.77,6.86,0.11,2.69,24000,407.15,-,-,-,-,-,rsa,200,3.77,0.11,0.11,0.08,0.03,15.78,0.24,203.57,0.0000
search_100rps,1,0,3001,5.75,10.45,5.75,-,5.28,-,3031,97.65,-,-,-,0.05,5.24,search,100,5.75,5.28,5.28,5.42,0.55,26.79,9.76,97.65,0.0000
search_200rps,1,0,6001,5.24,10.23,5.24,-,4.92,-,6031,194.31,-,-,-,0.03,4.89,search,200,5.24,4.92,4.92,5.38,0.36,27.00,9.67,194.31,0.0000
search_50rps,1,0,1501,11.15,13.68,11.15,-,10.42,-,1531,48.90,-,-,-,0.05,10.36,search,50,11.15,10.42,10.42,10.24,6.23,24.91,12.10,48.90,0.0000
